DK_JS,DK_SS,DK_NAME,DK_BRIEF_NAME,EVENT_GUBUN,EVENT_NAME,RENT_START_YMD,RENT_END_YMD,DK_DAY,SIN_PERSON,JS_PERSON,PLAN_YN,IO_GUBUN
1,7,우리금융아트홀,제3체육관,문화예술행사,비스쿨 더 페스티벌,20141211,20141223,5,2500,,,내부
1,10,뮤즈라이브,뮤즈라이브,문화예술행사,에이핑크 1st 콘서트 기자회견,20150130,20150130,1,140,140,,내부
1,3,KSPO DOME(체조경기장),제1체육관,공공행사,힐송워십 내한공연,20150419,20150419,1,5000,5000,,내부
1,8,K-아트홀,K-아트홀,대중공연,정엽 소극장 콘서트,20150519,20150525,7,380,1832,N,내부
1,9,올림픽홀,올림픽홀,대중공연,어버이날 특별공연,20150507,20150508,2,2000,,,내부
1,5,핸드볼경기장,핸드볼경기장,문화예술행사,R16 2015 세계비보이대회 &amp; 도시문화축제,20150903,20150907,5,3000,,,내부
1,3,KSPO DOME(체조경기장),제1체육관,문화예술행사,Mnet 슈퍼스타K7 2차 서울 지역예선,20150704,20150705,2,2000,,,내부
1,3,KSPO DOME(체조경기장),제1체육관,문화예술행사,2015 WIN 콘서트,20150930,20151004,5,13000,,,내부
1,15,벨로드롬,벨로드롬,문화예술행사,슈퍼소닉 뮤직페스티벌,20150811,20150816,6,15000,,,내부
1,3,KSPO DOME(체조경기장),제1체육관,문화예술행사,광복70주년기념 플라시도도밍고 앵콜 콘서트,20150828,20150829,2,6500,,N,내부
1,9,올림픽홀,올림픽홀,대중공연,2015 컬투 크리스말쇼,20151221,20151227,7,17483,16171,N,내부
1,3,KSPO DOME(체조경기장),제1체육관,문화예술행사,80‘s Fall-한국인이 사랑하는 팝 콘서트,20151022,20151025,4,7500,,N,내부
1,7,우리금융아트홀,제3체육관,대중공연,이정 콘서트,20151113,20151115,3,1086,,N,내부
1,7,우리금융아트홀,제3체육관,대중공연,2015 하동균 콘서트,20151120,20151122,3,1086,0,N,내부
1,27,피크닉광장,피크닉광장,공공행사,제2회 치매극복 전국 걷기대회,20150515,20150515,1,1100,1100,N,외부
1,7,우리금융아트홀,제3체육관,문화예술행사,우주최강코믹 홀로그램 뮤지컬 <라바>,20150114,20150301,47,,19198,N,내부
1,5,핸드볼경기장,핸드볼경기장,문화예술행사,서태지밴드 앵콜공연,20150224,20150301,6,10000,6128,,내부
1,21,88잔디마당,88잔디마당,문화예술행사,2015 크레디아 파크콘서트 - 디즈니 인 콘서트 & 정명훈과 베토벤,20150901,20150907,7,10500,11965,N,외부
1,33,88호수수변무대,88호수,문화예술행사,사랑과 감사의 음악대잔치 봉사공연,20150517,20150517,1,1000,,,외부
1,33,88호수수변무대,88호수,문화예술행사,그랜드민트 페스티벌 5,20151013,20151019,7,15000,1000,Y,외부
1,3,KSPO DOME(체조경기장),제1체육관,문화예술행사,2015 소녀시대 월드투어,20151116,20151123,8,15880,12525,N,내부
1,5,핸드볼경기장,핸드볼경기장,공공행사,제27회 강동구연합회장기 배드민턴대회,20151101,20151101,1,0,,,내부
1,5,핸드볼경기장,핸드볼경기장,문화예술행사,R16 2015 세계비보이대회 & 도시문화축제,20150902,20150906,5,4000,,N,내부
1,2,핸드볼보조경기장,핸드볼보조경기장,체육행사,2015년 12월 국내핸드볼팀 훈련외,20151201,20151231,20,1110,608,N,내부
1,7,우리금융아트홀,제3체육관,대중공연,2016 김경호 전국투어 콘서트 - 서울,20160527,20160528,2,2000,1818,N,내부
1,10,뮤즈라이브,뮤즈라이브,문화예술행사,2015 대중음악공연 프로젝트 ,20150816,20151210,,200,500,Y,내부
1,5,핸드볼경기장,핸드볼경기장,체육행사,제12회 (사)스페셜올림픽코리아 전국하계대회,20160823,20160823,1,3500,,N,내부
1,9,올림픽홀,올림픽홀,대중공연,2016년 케이윌의 &apos;케대박 콘서트&apos;,20161219,20161225,7,11200,,,내부
1,9,올림픽홀,올림픽홀,대중공연,컬투 연말공연(가제),20161219,20161225,7,16860,,N,내부
1,5,핸드볼경기장,핸드볼경기장,문화예술행사,2016 박정현 콘서트,20161220,20161226,7,3000,8313,N,내부
1,5,핸드볼경기장,핸드볼경기장,문화예술행사,제10회 서울재즈페스티벌(Seoul Jazz Festival) 2016,20160524,20160530,7,35000,8000,N,내부
1,9,올림픽홀,올림픽홀,문화예술행사,2016 K-POP Syndrome in Seoul 태양의 후예 OST 콘서트 외,20161002,20161003,2,3000,,N,내부
1,19,평화의광장,평화의광장,공공행사,2016 서울평생학습축제,20161011,20161017,7,1000,4200,N,외부
1,10,뮤즈라이브,뮤즈라이브,문화예술행사,B.A.P LIVE ON EARTH WORLD TOUR 앵콜 기자회견,20160807,20160807,1,200,,N,내부
1,19,평화의광장,평화의광장,공공행사,2018평창동계올림픽대회 성공기원 염원행사,20161001,20161001,1,5000,2000,N,외부
1,10,뮤즈라이브,뮤즈라이브,문화예술행사,벅스TV vol.18 ？ 백예린,20160706,20160706,1,220,196,N,내부
1,10,뮤즈라이브,뮤즈라이브,문화예술행사,뮤즈 앤 재즈 라이브(Muse & Jazz Live) Vol.1,20160524,20160525,2,200,161,Y,내부
1,7,우리금융아트홀,제3체육관,문화예술행사,가족뮤지컬-레이디버그,20161031,20161127,28,15000,12249,N,내부
1,9,올림픽홀,올림픽홀,대중공연,2015 저작권과 함께하는 실연자 콘서트,20151102,20151103,2,3000,,N,내부
1,9,올림픽홀,올림픽홀,대중공연,슈퍼주니어 KRY 두번째 아시아 투어,20150819,20150824,6,5000,5270,N,내부
1,3,KSPO DOME(체조경기장),제1체육관,문화예술행사,2015 NEYO SEOUL CONCERT(2015 니요 서울 콘서트),20151202,20151206,5,10000,,N,내부
1,7,우리금융아트홀,제3체육관,체육행사,Pernod Ricard Korea Responsib’All Day,20150611,20150611,1,0,,,내부
1,3,KSPO DOME(체조경기장),제1체육관,문화예술행사,2015 던파 페스티벌,20151203,20151220,18,10000,,N,내부
