,DK_SS,DK_NAME,EVENT_GUBUN,EVENT_NAME,RENT_START_YMD,JS_PERSON,end_day
480,10,뮤즈라이브,문화예술행사,사물놀이 한뫼 20주년 스물놀이 가잔다,20191207,165.0,Sat
481,8,K-아트홀,문화예술행사,2019 지현우 팬미팅,20191201,190.0,Sun
482,8,K-아트홀,대중공연,이재진 팬미팅,20200111,401.0,Sat
483,10,뮤즈라이브,문화예술행사,안은경의 피리[절대 변하지 않는 것들],20200113,118.0,Mon
484,10,뮤즈라이브,문화예술행사,2018 자이로(Zairo) 콘서트,20180602,283.0,Sat
485,3,KSPO DOME(체조경기장),문화예술행사,2018 BTOB 콘서트,20180810,25154.0,Fri
486,3,KSPO DOME(체조경기장),문화예술행사,소리바다 2018 k-뮤직어워즈&샤이니 6번째 콘서트,20180826,36408.0,Sun
487,5,핸드볼경기장,문화예술행사,몬스타엑스 월드투어 앵콜콘서트,20180825,6580.0,Sat
488,8,K-아트홀,순수예술공연,상주단체공연 <골목길 햄릿>,20180827,1173.0,Mon
489,9,올림픽홀,대중공연,막심므라비차와 막심 밴드 크로스오버 콘서트,20181007,1710.0,Sun
490,10,뮤즈라이브,문화예술행사,바리톤김주택 생일파티,20180729,220.0,Sun
491,8,K-아트홀,대중공연,박기영 데뷔 20주년 기념 콘서트,20181025,558.0,Thu
492,8,K-아트홀,대중공연,2018 최재훈 콘서트 [일년에 단 한번],20181123,703.0,Fri
493,9,올림픽홀,대중공연,2019 정승환 콘서트,20190620,4334.0,Thu
494,8,K-아트홀,문화예술행사,2019 KTA 태권도 품새 최강전,20190307,330.0,Thu
495,8,K-아트홀,대중공연,김용진 봄날 콘서트,20190419,459.0,Fri
496,19,평화의광장,공공행사,2019서울국제마라톤 겸 제90회 동아마라톤,20190316,10000.0,Sat
497,3,KSPO DOME(체조경기장),문화예술행사,제10회 크레디아 파크콘서트,20190907,6246.0,Sat
498,19,평화의광장,문화예술행사,GD 파라노이즈 유토피아(GD PARA NOISE UTOPIA),20191116,8000.0,Sat
499,3,KSPO DOME(체조경기장),문화예술행사,그랜드 민트 페스티벌 2019 (GMF 2019),20191019,19029.0,Sat
500,10,뮤즈라이브,문화예술행사,정민 1st concet (가제),20190621,440.0,Fri
501,9,올림픽홀,대중공연,YG CONCERT 2019(블랙핑크 팬미팅),20190917,5048.0,Tue
502,9,올림픽홀,문화예술행사,2019 박진영 나쁜파티,20191225,8643.0,Wed
503,9,올림픽홀,대중공연,2020잔나비 전국투어 콘서트 -서울,20200212,5765.0,Wed
